"height","weight"
1.79,76.7
1.71,59.5
1.78,68.7
1.8,75.7
1.72,63.5
1.74,66.7
1.73,61.8
1.81,78.3
1.79,73.7
1.78,67.1
1.66,52.5
1.73,59.8
1.73,61.1
1.57,55.8
1.69,61.9
1.72,72.9
1.64,51.6
1.59,54.5
1.72,60.7
1.79,67.4
1.79,77.7
1.63,61.7
1.71,56.8
1.66,57.3
1.83,71.8
1.74,72.4
1.73,76.5
1.77,70.6
1.76,56.5
1.66,51.7
1.66,71.7
1.63,58.3
1.71,61.5
1.61,55.8
1.68,63.3
1.74,60.8
1.87,73.8
1.74,71.8
1.68,61.4
1.69,59.4
1.76,64.1
1.68,60.8
1.78,67.1
1.71,62.5
1.8,69.8
1.76,71.3
1.69,65.4
1.72,73.3
1.75,60.8
1.71,60.7
1.81,69.2
1.78,68.2
1.69,68.4
1.72,68.1
1.67,67.2
1.79,65.7
1.64,56.6
1.78,69.3
1.74,65
1.73,68.4
1.76,69.1
1.64,45
1.59,55
1.84,79.2
1.73,81.3
1.75,66.7
1.82,79.9
1.75,75.4
1.59,51.1
1.77,72.7
1.63,59.5
1.85,70.8
1.82,78.5
1.71,50.3
1.66,64.1
1.71,68.3
1.67,59.7
1.6,51.8
1.77,71.2
1.73,62.2
1.67,67
1.68,59.7
1.67,63.5
1.75,71.5
1.7,63.9
1.77,66.6
1.79,72
1.8,75.5
1.62,61.7
1.74,64.7
1.84,75.1
1.65,58
1.78,76.2
1.77,68.9
1.72,63.8
1.66,58.2
1.76,67.9
1.8,81.2
1.71,66.2
1.75,60.7
1.75,58.3
1.71,69.3
1.79,66.7
1.78,67.8
1.6,58
1.75,64.4
1.7,64.7
1.8,64.8
1.63,57
1.65,47.2
1.81,67.9
1.76,64.6
1.77,72.2
1.71,67
1.68,71.4
1.75,66.6
1.76,84.3
1.68,58.4
1.81,69.3
1.7,60
1.74,56
1.75,62
1.72,74.5
1.75,68.1
1.8,69.2
1.65,54.8
1.75,67.2
1.74,79.1
1.7,61.1
1.83,74
1.8,77.7
1.64,49.1
1.63,56.7
1.73,68.6
1.79,73.8
1.77,68.8
1.58,47.1
1.77,66.1
1.65,56.4
1.88,81.8
1.75,68.6
1.81,68.4
1.65,56.9
1.64,58.2
1.7,69.4
1.71,55.3
1.71,58.6
1.85,77.9
1.73,56.9
1.71,62.8
1.68,63.4
1.75,60
1.65,57.4
1.68,60.2
1.84,77.1
1.82,71.8
1.76,62
1.77,68.3
1.83,76.8
1.76,72
1.75,61.3
1.67,62.8
1.74,66.7
1.66,57.6
1.69,64.3
1.77,71.3
1.78,67.7
1.7,56.4
1.74,68.9
1.71,60.9
1.75,71
1.73,57.3
1.71,59.4
1.79,61.9
1.79,69.8
1.65,61.6
1.76,60.2
1.66,63.7
1.67,45
1.84,83.7
1.65,62.4
1.7,69.6
1.82,73.8
1.72,69.1
1.61,54.1
1.63,46
1.68,60.5
1.77,75.3
1.75,66.1
1.61,57
1.69,53.5
1.8,73
1.73,68.6
1.8,63.7
1.68,62
1.79,70.4
1.7,62.9
1.69,54.6
1.69,63.1
1.78,73.5
1.74,66.6
1.57,64.9
1.74,66.7
1.76,57.5
1.74,64.8
1.8,75.9
1.83,77.6
1.79,78.3
1.8,83.7
1.77,72.2
1.66,55.7
1.72,51.3
1.68,62.8
1.69,61
1.68,53.8
1.7,62.9
1.77,73.7
1.7,59.5
1.69,70.2
1.72,62.2
1.65,56.3
1.86,63
1.66,51.1
1.58,62.6
1.75,66.4
1.7,72.2
1.62,54
1.63,64.1
1.73,64.4
1.68,78.4
1.74,67.8
1.73,63.2
1.57,47.6
1.68,63.8
1.62,53
1.67,53.5
1.69,68.2
1.7,68.8
1.67,58.4
1.73,66.3
1.79,72.7
1.73,58.6
1.76,69.8
1.69,64.5
1.78,66.8
1.78,65.5
1.69,70.1
1.65,60.7
1.71,62.1
1.75,72.5
1.69,63.2
1.7,65.2
1.68,60.9
1.75,77
1.85,78.9
1.73,67.7
1.7,65.9
1.78,74.4
1.68,59.9
1.72,64
1.75,61.6
1.63,64.9
1.73,65.9
1.73,62.9
1.73,67.5
1.77,67
1.74,74
1.74,59
1.75,64.8
1.77,64.5
1.64,57.2
1.77,66.8
1.7,69.2
1.75,65.9
1.65,59.7
1.76,66.5
1.62,56.8
1.71,70
1.74,71.1
1.7,58.1
1.73,62.3
1.72,76.2
1.71,62.5
1.73,72.5
1.76,65.4
1.68,60.3
1.74,66.2
1.78,79.9
1.78,56.6
1.61,57.6
1.69,56.7
1.77,69.2
1.62,50.1
1.65,62
1.64,57.6
1.68,58.7
1.74,67.2
1.76,67.4
1.7,62
1.66,66.4
1.66,64.3
1.69,62.9
1.77,66.2
1.72,77
1.76,71.5
1.71,67.1
1.62,54
1.74,65.1
1.92,89.1
1.64,59.6
1.67,55
1.76,59.7
1.75,78.5
1.75,59.5
1.75,72.6
1.75,72.1
1.67,51.9
1.76,67.2
1.67,54.4
1.69,68.8
1.61,60.6
1.8,77.6
1.68,59
1.78,70
1.66,60
1.74,66.8
1.8,74
1.71,61.4
1.76,70.2
1.69,71.8
1.64,69.6
1.72,75.3
1.77,62.6
1.63,61.3
1.85,75.1
1.74,69.4
1.74,67.1
1.65,61
1.76,57.7
1.65,60.5
1.68,72.5
1.75,64
1.73,55.7
1.69,66.6
1.68,58.3
1.68,61.4
1.8,69.1
1.52,48.3
1.81,76.5
1.73,67.3
