height,weight
175.0,74.9
168.6,64.2
176.5,72.8
185.2,79.2
167.7,85.5
167.7,68.0
185.8,57.4
177.7,65.4
165.3,75.0
175.4,70.6
165.4,62.8
165.3,67.2
172.4,53.4
150.9,52.1
152.8,82.2
164.4,77.3
159.9,68.9
173.1,85.1
160.9,75.4
155.9,60.3
184.7,75.4
167.7,81.1
170.7,69.5
155.8,78.5
164.6,55.7
171.1,82.3
158.5,71.3
173.8,65.5
164.0,71.4
167.1,58.2
164.0,66.7
188.5,75.4
169.9,73.2
159.4,62.2
178.2,57.9
157.8,62.5
172.1,83.7
150.4,74.9
156.7,62.1
172.0,77.7
177.4,71.5
171.7,84.5
168.8,59.5
167.0,65.1
155.2,64.1
162.8,56.0
165.4,74.4
180.6,73.9
173.4,70.1
152.4,66.5
169.2,68.7
174.8,76.3
163.5,61.9
178.9,80.2
166.4,69.8
171.3,72.5
159.7,64.8
182.1,77.9
168.1,70.3
175.6,74.1
162.3,58.6
179.4,81.7
165.8,67.4
172.9,71.2
157.2,59.3
183.5,78.6
170.5,73.8
176.2,69.1
161.4,62.4
180.3,76.8
167.9,65.9
173.7,72.7
158.6,60.5
184.2,79.8
169.8,74.6
175.1,68.3
163.9,63.7
177.8,77.5
166.7,70.9
172.6,66.2
160.2,61.1
181.4,80.4
168.4,73.4
174.3,69.6
157.9,58.2
185.6,82.1
170.1,75.8
176.8,67.8
162.7,64.3
179.2,78.9
165.2,71.7
171.9,73.1
159.5,60.9
182.7,79.5
169.4,74.2
175.9,68.6
163.1,62.7
178.6,81.3
167.3,70.5
173.2,72.9
158.8,59.7
183.9,77.1
170.9,73.6
176.4,69.4
161.6,63.2
180.7,76.2
168.2,65.7
174.7,71.9
157.4,60.1
184.8,80.8
169.6,74.8
175.3,68.9
163.7,64.9
177.1,78.3
166.5,70.1
172.8,73.7
160.4,61.5
181.9,79.9
168.9,75.2
174.6,69.8
158.1,58.8
185.3,81.9
170.3,74.4
176.1,67.2
162.9,63.9
179.8,77.7
165.6,71.3
171.5,72.3
159.1,60.3
182.4,80.1
169.1,73.9
175.7,68.1
163.3,62.3
178.3,81.5
167.5,70.7
173.9,66.8
158.3,59.1
184.5,78.1
170.7,75.6
176.9,69.2
161.8,64.7
180.1,76.5
168.6,65.3
174.1,71.6
157.6,60.7
183.2,79.3
169.3,74.0
175.8,68.5
163.6,63.5
177.6,77.9
166.9,70.3
172.3,73.3
160.8,61.9
181.6,80.6
168.7,75.4
174.9,69.0
158.7,58.4
185.1,82.5
170.6,74.7
176.3,67.6
162.5,64.5
179.5,78.7
165.9,71.1
171.8,72.1
159.3,60.5
182.9,79.7
169.7,73.5
175.5,68.7
163.4,62.9
178.1,81.1
167.1,70.9
173.6,73.9
158.9,59.5
184.1,77.3
170.4,75.1
176.6,69.9
161.2,63.1
180.9,76.9
168.3,65.5
174.4,71.4
157.1,60.9
183.7,79.1
169.5,74.3
175.2,68.4
163.8,64.1
177.9,78.5
166.2,70.6
172.7,72.7
160.6,61.7
181.3,80.3
168.8,75.9
174.2,69.3
158.4,58.6
185.4,81.7
170.8,74.5
176.7,67.9
162.1,64.8
179.7,77.2
165.1,71.8
171.4,73.4
159.8,60.2
182.6,79.4
