Student_ID,Study_Hours,Exam_Score,Final_Exam_Score,Admitted
1,9.0,87,91,1
2,12.0,77,95,1
3,6.0,65,71,1
4,14.0,94,88,1
5,13.5,91,100,1
6,10.5,68,62,1
7,10.5,73,78,1
8,12.5,83,87,1
9,10.5,71,66,0
10,11.0,86,94,1
11,13.5,93,95,1
12,13.0,70,73,1
13,11.5,66,62,0
14,11.0,69,77,1
15,12.0,84,79,1
16,9.5,93,82,1
17,10.5,75,84,0
18,13.0,89,86,0
19,11.0,71,71,0
20,7.5,60,72,0
21,10.0,60,67,0
22,13.5,88,92,1
23,11.0,88,94,1
24,11.0,77,73,1
25,13.5,100,100,1
26,14.0,91,98,1
27,9.5,75,80,1
28,14.0,94,93,1
29,8.0,75,53,0
30,12.0,93,96,1
31,8.0,64,65,1
32,14.0,70,68,1
33,14.0,91,96,0
34,14.0,85,87,1
35,9.0,74,75,0
36,13.5,100,91,1
37,10.0,68,59,0
38,10.0,84,86,1
39,13.0,95,95,1
40,14.0,94,95,1
41,12.0,93,94,1
42,9.5,72,74,1
43,9.0,68,68,0
44,14.0,99,100,1
45,13.5,94,96,1
46,13.5,100,100,1
47,14.0,92,89,1
48,9.0,88,93,1
49,14.0,87,91,1
50,14.0,81,82,1
51,14.0,72,69,1
52,14.0,80,82,1
53,9.5,82,87,1
54,14.0,77,71,1
55,10.0,73,73,1
56,11.5,100,100,1
57,10.5,86,82,1
58,12.5,100,96,1
59,14.0,81,72,0
60,10.0,56,49,0
61,8.5,85,76,1
62,8.5,60,56,0
63,8.5,73,70,1
64,7.0,69,66,0
65,9.0,66,68,0
66,14.0,100,99,1
67,9.5,89,85,1
68,12.5,90,86,1
69,8.0,70,63,1
70,12.0,85,84,1
71,6.5,56,55,0
72,9.5,73,83,1
73,14.0,89,98,1
74,10.0,70,79,1
75,14.0,97,100,1
76,13.0,74,67,1
77,11.0,76,80,0
78,9.5,56,61,0
79,14.0,94,97,1
80,11.0,87,100,1
