Name,Platform,Year,Publisher
Game 0001,PS4,2011,Sony
Game 0002,PS5,2003,Take-Two
Game 0003,Switch,2005,Capcom
Game 0004,Xbox,2020,Ubisoft
Game 0005,Switch,2018,Take-Two
Game 0006,PS5,2017,Sega
Game 0007,Switch,2012,Nintendo
Game 0008,PC,2020,Sega
Game 0009,PS5,2025,Square Enix
Game 0010,PS5,2024,Konami
Game 0011,PS4,2019,Bandai Namco
Game 0012,PC,2017,Sega
Game 0013,Switch,2014,Konami
Game 0014,Switch,2003,Sony
Game 0015,PS5,2018,Activision
Game 0016,PS4,2011,Ubisoft
Game 0017,PC,2015,Sega
Game 0018,PS5,2008,Bandai Namco
Game 0019,PC,2013,Nintendo
Game 0020,Xbox,2016,Bethesda
Game 0021,PS5,2013,Activision
Game 0022,PC,2018,Activision
Game 0023,Xbox,2017,Sega
Game 0024,PC,2015,Ubisoft
Game 0025,PC,2004,Capcom
Game 0026,PS5,2019,Sony
Game 0027,PS5,2011,Take-Two
Game 0028,Xbox,2006,Sony
Game 0029,Mobile,2013,Take-Two
Game 0030,PS4,2003,Bethesda
Game 0031,Switch,2023,Konami
Game 0032,Xbox,2020,Bandai Namco
Game 0033,Switch,2014,Bandai Namco
Game 0034,Switch,2019,Electronic Arts
Game 0035,Xbox,2020,Ubisoft
Game 0036,PC,2015,Bandai Namco
Game 0037,Mobile,2004,Sega
Game 0038,Xbox,2013,Electronic Arts
Game 0039,PC,2020,Bandai Namco
Game 0040,Switch,2008,Activision
Game 0041,PS4,2019,Sega
Game 0042,Xbox,2012,Ubisoft
Game 0043,PS5,2010,Sony
Game 0044,Mobile,2016,Konami
Game 0045,PS4,2005,Konami
Game 0046,Mobile,2011,Sega
Game 0047,PC,2004,Ubisoft
Game 0048,Xbox,2009,Square Enix
Game 0049,Xbox,2023,Ubisoft
Game 0050,PS4,2024,Sega
Game 0051,PC,2012,Konami
Game 0052,PC,2006,Ubisoft
Game 0053,PS4,2014,Activision
Game 0054,Switch,2013,Take-Two
Game 0055,Mobile,2005,Bethesda
Game 0056,Xbox,2017,Konami
Game 0057,Xbox,2015,Activision
Game 0058,PS4,2025,Sega
Game 0059,Switch,2006,Sega
Game 0060,Switch,2011,Bandai Namco
Game 0061,Xbox,2016,Square Enix
Game 0062,PC,2014,Electronic Arts
Game 0063,PS4,2007,Konami
Game 0064,PS4,2012,Bandai Namco
Game 0065,PS4,2007,Nintendo
Game 0066,PS4,2004,Konami
Game 0067,PC,2014,Activision
Game 0068,Xbox,2016,Capcom
Game 0069,Xbox,2005,Sega
Game 0070,Mobile,2017,Sony
Game 0071,Xbox,2008,Take-Two
Game 0072,PC,2014,Sega
Game 0073,PC,2004,Konami
Game 0074,Switch,2008,Sega
Game 0075,PS5,2025,Bethesda
Game 0076,Xbox,2011,Ubisoft
Game 0077,Xbox,2004,Sony
Game 0078,PC,2016,Take-Two
Game 0079,Mobile,2020,Konami
Game 0080,Xbox,2009,Bandai Namco
Game 0081,Xbox,2003,Activision
Game 0082,PC,2009,Square Enix
Game 0083,PC,2010,Bandai Namco
Game 0084,PC,2013,Square Enix
Game 0085,PS5,2011,Electronic Arts
Game 0086,Xbox,2024,Sega
Game 0087,Switch,2014,Sega
Game 0088,PC,2020,Capcom
Game 0089,Switch,2015,Activision
Game 0090,PS4,2025,Sega
Game 0091,PC,2003,Bandai Namco
Game 0092,Xbox,2008,Square Enix
Game 0093,Xbox,2018,Konami
Game 0094,Switch,2016,Bandai Namco
Game 0095,PC,2010,Bandai Namco
Game 0096,Xbox,2003,Sega
Game 0097,Mobile,2016,Activision
Game 0098,PS5,2003,Capcom
Game 0099,PS5,2020,Bandai Namco
Game 0100,PC,2014,Sega
Game 0101,PS5,2022,Bethesda
Game 0102,Mobile,2010,Square Enix
Game 0103,PS5,2010,Ubisoft
Game 0104,PC,2014,Sony
Game 0105,Switch,2003,Sony
Game 0106,Xbox,2018,Nintendo
Game 0107,PC,2019,Nintendo
Game 0108,PS4,2018,Sega
Game 0109,Xbox,2017,Activision
Game 0110,PS5,2016,Take-Two
Game 0111,PS4,2025,Activision
Game 0112,PS5,2018,Konami
Game 0113,PC,2021,Konami
Game 0114,Switch,2013,Activision
Game 0115,PS5,2006,Bandai Namco
Game 0116,PS4,2005,Konami
Game 0117,PC,2018,Capcom
Game 0118,Mobile,2003,Bandai Namco
Game 0119,PC,2022,Sega
Game 0120,Switch,2009,Take-Two
Game 0121,Switch,2015,Bandai Namco
Game 0122,PC,2011,Electronic Arts
Game 0123,Switch,2018,Sega
Game 0124,Xbox,2006,Ubisoft
Game 0125,PS4,2025,Sony
Game 0126,PS4,2018,Take-Two
Game 0127,PS5,2006,Konami
Game 0128,PS4,2024,Activision
Game 0129,Switch,2010,Sega
Game 0130,PC,2022,Square Enix
Game 0131,PS4,2005,Take-Two
Game 0132,PC,2007,Bandai Namco
Game 0133,PS4,2024,Square Enix
Game 0134,PS4,2006,Sony
Game 0135,Switch,2004,Konami
Game 0136,PC,2012,Konami
Game 0137,Switch,2010,Konami
Game 0138,Switch,2016,Bethesda
Game 0139,PC,2023,Take-Two
Game 0140,Mobile,2021,Ubisoft
Game 0141,PS5,2019,Capcom
Game 0142,PS4,2005,Bethesda
Game 0143,PS4,2015,Sega
Game 0144,PS4,2003,Activision
Game 0145,Xbox,2005,Take-Two
Game 0146,Xbox,2015,Electronic Arts
Game 0147,Mobile,2013,Bethesda
Game 0148,Switch,2007,Square Enix
Game 0149,PS4,2019,Sony
Game 0150,PS5,2025,Take-Two
Game 0151,Switch,2017,Activision
Game 0152,PS4,2011,Ubisoft
Game 0153,PC,2004,Activision
Game 0154,Xbox,2004,Ubisoft
Game 0155,Switch,2003,Activision
Game 0156,PS4,2024,Nintendo
Game 0157,Xbox,2025,Sega
Game 0158,Mobile,2018,Take-Two
Game 0159,Mobile,2016,Square Enix
Game 0160,Switch,2013,Activision
Game 0161,Switch,2010,Capcom
Game 0162,PS5,2005,Activision
Game 0163,PC,2009,Konami
Game 0164,Switch,2023,Activision
Game 0165,Mobile,2009,Electronic Arts
Game 0166,PS5,2003,Square Enix
Game 0167,Switch,2025,Nintendo
Game 0168,PS5,2019,Square Enix
Game 0169,Switch,2022,Capcom
Game 0170,Xbox,2010,Electronic Arts
Game 0171,PC,2025,Electronic Arts
Game 0172,Switch,2003,Bethesda
Game 0173,PS5,2010,Bethesda
Game 0174,PS4,2013,Activision
Game 0175,PS5,2012,Sony
Game 0176,PC,2019,Square Enix
Game 0177,PC,2008,Square Enix
Game 0178,Mobile,2015,Bandai Namco
Game 0179,PC,2005,Ubisoft
Game 0180,Switch,2024,Sega
Game 0181,Switch,2007,Bethesda
Game 0182,PS4,2015,Sega
Game 0183,PC,2015,Nintendo
Game 0184,Xbox,2008,Square Enix
Game 0185,PC,2016,Capcom
Game 0186,PS4,2020,Sony
