Name,Platform,Year,Publisher
Game 0001,Switch,2010,Square Enix
Game 0002,Xbox,2001,Capcom
Game 0003,Switch,2004,Electronic Arts
Game 0004,Mobile,2015,Bethesda
Game 0005,PC,2025,Take-Two
Game 0006,Mobile,2020,Bethesda
Game 0007,PS5,2002,Bandai Namco
Game 0008,PC,2010,Activision
Game 0009,PC,2020,Bandai Namco
Game 0010,Switch,2013,Take-Two
Game 0011,Xbox,2020,Bethesda
Game 0012,Mobile,2002,Bandai Namco
Game 0013,PS4,2018,Capcom
Game 0014,Mobile,2006,Konami
Game 0015,Mobile,2011,Bandai Namco
Game 0016,Mobile,2016,Ubisoft
Game 0017,Switch,2003,
Game 0018,PS5,2012,Sony
Game 0019,Switch,2001,Electronic Arts
Game 0020,Switch,2016,Activision
Game 0021,PC,2019,Take-Two
Game 0022,Switch,2020,Sony
Game 0023,Xbox,2009,Sony
Game 0024,PC,2009,Electronic Arts
Game 0025,PC,2003,Nintendo
Game 0026,Xbox,2010,Ubisoft
Game 0027,PC,2018,Bandai Namco
Game 0028,PC,2007,Activision
Game 0029,Mobile,2002,Square Enix
Game 0030,PC,2008,Sega
Game 0031,PC,2019,Bandai Namco
Game 0032,PC,2019,Sega
Game 0033,PC,2021,Ubisoft
Game 0034,PS4,2008,Electronic Arts
Game 0035,PS5,2002,Nintendo
Game 0036,PC,2007,Capcom
Game 0037,PC,2010,Sega
Game 0038,Switch,2001,Take-Two
Game 0039,Mobile,2021,Sony
Game 0040,PC,2023,Activision
Game 0041,Xbox,2015,Ubisoft
Game 0042,PS5,2021,Ubisoft
Game 0043,Switch,2022,Sega
Game 0044,Xbox,2015,Take-Two
Game 0045,PS4,2011,Bandai Namco
Game 0046,PC,2014,Bethesda
Game 0047,PC,2015,Activision
Game 0048,Switch,2021,Sega
Game 0049,Switch,2021,Bethesda
Game 0050,PS5,2014,Sony
Game 0051,Xbox,2004,Sega
Game 0052,Xbox,2001,Capcom
Game 0053,Mobile,2022,Square Enix
Game 0054,Switch,2007,Ubisoft
Game 0055,PC,2021,Sega
Game 0056,Mobile,2015,Sony
Game 0057,Switch,2010,Activision
Game 0058,PC,2023,Sega
Game 0059,PS4,2003,Bandai Namco
Game 0060,PS4,2014,Capcom
Game 0061,Mobile,2015,Take-Two
Game 0062,Switch,2017,Konami
Game 0063,PC,2012,Konami
Game 0064,PC,2005,Sony
Game 0065,PS4,2002,Bethesda
Game 0066,Switch,2025,Activision
Game 0067,PC,2002,Ubisoft
Game 0068,PC,2014,Activision
Game 0069,Switch,2002,Capcom
Game 0070,Mobile,2012,Sony
Game 0071,Switch,2015,Ubisoft
Game 0072,PS5,2009,Bandai Namco
Game 0073,Switch,2019,Electronic Arts
Game 0074,PS5,2017,Ubisoft
Game 0075,Mobile,2002,Bethesda
Game 0076,Switch,2011,Take-Two
Game 0077,PC,2004,Sega
Game 0078,PS4,2003,Nintendo
Game 0079,Switch,2024,Ubisoft
Game 0080,Xbox,2019,Electronic Arts
Game 0081,PC,2023,Take-Two
Game 0082,PS5,2020,Nintendo
Game 0083,Xbox,2024,Nintendo
Game 0084,PC,2019,Activision
Game 0085,Xbox,2024,Sega
Game 0086,Switch,2022,Konami
Game 0087,PS4,2013,Square Enix
Game 0088,PC,2002,Activision
Game 0089,Mobile,2025,Sega
Game 0090,PS4,2025,Bandai Namco
Game 0091,PS5,2018,Bandai Namco
Game 0092,PS5,2015,Bandai Namco
Game 0093,PC,2013,Capcom
Game 0094,Switch,2018,Capcom
Game 0095,Xbox,2023,
Game 0096,PC,2003,Ubisoft
Game 0097,Mobile,2021,Electronic Arts
Game 0098,PS5,2008,Ubisoft
Game 0099,PS4,2022,Square Enix
Game 0100,PS4,2011,Ubisoft
Game 0101,Switch,2001,Square Enix
Game 0102,PS4,2023,Bandai Namco
Game 0103,Switch,2009,Sega
Game 0104,PC,2002,Bandai Namco
Game 0105,PC,2009,Take-Two
Game 0106,PC,2008,Electronic Arts
Game 0107,Switch,2024,Square Enix
Game 0108,PC,2019,Ubisoft
Game 0109,PS4,2023,
Game 0110,Switch,2022,Konami
Game 0111,Mobile,2020,Sega
Game 0112,PC,2008,Bandai Namco
Game 0113,PC,2006,
Game 0114,Switch,2008,Sega
Game 0115,Switch,2015,Sega
Game 0116,PS5,2015,Bandai Namco
Game 0117,Switch,2025,Activision
Game 0118,PC,2005,Ubisoft
Game 0119,Xbox,2011,Square Enix
Game 0120,Mobile,2025,Bandai Namco
Game 0121,PC,2024,Ubisoft
Game 0122,PS4,2012,Nintendo
Game 0123,Xbox,2013,Square Enix
Game 0124,Switch,2016,Konami
Game 0125,PC,2020,Bandai Namco
Game 0126,PS4,2015,Take-Two
Game 0127,Xbox,2024,Konami
Game 0128,PS4,2011,Ubisoft
Game 0129,Switch,2001,Square Enix
Game 0130,Xbox,2007,Bethesda
Game 0131,PC,2006,Take-Two
Game 0132,PS4,2004,Bethesda
Game 0133,PC,2017,Bandai Namco
Game 0134,Mobile,2015,Capcom
Game 0135,Xbox,2018,Bethesda
Game 0136,Switch,2003,Konami
Game 0137,Mobile,2022,Konami
Game 0138,PC,2018,Sega
Game 0139,PS4,2006,Konami
Game 0140,PS4,2019,Square Enix
Game 0141,PC,2014,Electronic Arts
Game 0142,Switch,2012,Electronic Arts
Game 0143,Xbox,2020,Bethesda
Game 0144,Xbox,2025,Konami
Game 0145,PC,2009,Bandai Namco
Game 0146,PC,2003,Nintendo
Game 0147,PS5,2017,Activision
Game 0148,PC,2018,Square Enix
Game 0149,Switch,2020,Activision
Game 0150,PS5,2010,Sony
Game 0151,Switch,2001,Nintendo
Game 0152,PC,2003,Bethesda
Game 0153,Switch,2006,Bandai Namco
Game 0154,PC,2007,Sega
Game 0155,Mobile,2008,Activision
Game 0156,Xbox,2008,Capcom
Game 0157,PC,2007,Sega
Game 0158,Switch,2008,Take-Two
Game 0159,PC,2003,Sony
Game 0160,PS4,2022,Konami
Game 0161,PS4,2009,Konami
Game 0162,PS5,2009,Bandai Namco
Game 0163,PS5,2009,Sony
Game 0164,Switch,2003,Sony
Game 0165,PS4,2019,Sony
Game 0166,PC,2023,
Game 0167,PS4,2002,Activision
Game 0168,Xbox,2021,Square Enix
Game 0169,PS5,2011,Take-Two
Game 0170,Switch,2021,Konami
Game 0171,PC,2002,Sony
Game 0172,Switch,2015,Konami
Game 0173,Switch,2010,Capcom
Game 0174,Switch,2021,Activision
Game 0175,PS4,2018,Capcom
Game 0176,PS5,2006,Take-Two
Game 0177,Xbox,2006,Bethesda
Game 0178,PS5,2016,Electronic Arts
Game 0179,Xbox,2005,Ubisoft
Game 0180,PS5,2009,Bethesda
Game 0181,PS5,2010,Sony
Game 0182,Switch,2004,Nintendo
Game 0183,Switch,2013,Bethesda
Game 0184,PC,2015,Ubisoft
Game 0185,Switch,2008,Sony
Game 0186,PS4,2015,Activision
Game 0187,PS4,2003,Bandai Namco
Game 0188,Xbox,2022,Square Enix
Game 0189,PS5,2001,Activision
Game 0190,Switch,2005,Square Enix
Game 0191,PC,2010,Capcom
Game 0192,PS5,2015,Square Enix
Game 0193,PC,2005,Bandai Namco
Game 0194,PS5,2012,Bethesda
Game 0195,Xbox,2017,Square Enix
Game 0196,Switch,2019,Square Enix
Game 0197,Xbox,2001,Capcom
Game 0198,Switch,2015,Bethesda
Game 0199,PC,2001,Activision
Game 0200,Xbox,2023,Square Enix
