Track.Name,Artist,Genre,Track.Score
Track 0001,Artist 54,R&B,36.52
Track 0002,Artist 17,R&B,41.68
Track 0003,Artist 01,R&B,30.47
Track 0004,Artist 32,R&B,38.76
Track 0005,Artist 15,Rock,31.32
Track 0006,Artist 18,Hip-hop,42.42
Track 0007,Artist 05,R&B,53.41
Track 0008,Artist 43,EDM,48.91
Track 0009,Artist 50,Hip-hop,35.38
Track 0010,Artist 01,Indie,36.49
Track 0011,Artist 29,R&B,59.16
Track 0012,Artist 06,Indie,74.79
Track 0013,Artist 52,Pop,64.87
Track 0014,Artist 31,Rock,39.13
Track 0015,Artist 33,R&B,43.96
Track 0016,Artist 33,Rock,33.71
Track 0017,Artist 56,Pop,45.86
Track 0018,Artist 21,EDM,43.13
Track 0019,Artist 45,Pop,72.65
Track 0020,Artist 47,Hip-hop,66.47
Track 0021,Artist 62,Country,67.31
Track 0022,Artist 62,R&B,24.9
Track 0023,Artist 03,Pop,40.61
Track 0024,Artist 58,Hip-hop,26.91
Track 0025,Artist 05,Hip-hop,47.49
Track 0026,Artist 11,Hip-hop,80.49
Track 0027,Artist 51,Pop,77.7
Track 0028,Artist 67,R&B,21.82
Track 0029,Artist 48,Pop,54.94
Track 0030,Artist 19,Pop,39.19
Track 0031,Artist 32,EDM,45.17
Track 0032,Artist 16,Indie,54.38
Track 0033,Artist 48,Hip-hop,36.42
Track 0034,Artist 08,Rock,54.47
Track 0035,Artist 41,Indie,37.47
Track 0036,Artist 05,Country,31.43
Track 0037,Artist 38,Country,75.75
Track 0038,Artist 11,Indie,31.09
Track 0039,Artist 19,Indie,67.11
Track 0040,Artist 08,Rock,57.44
Track 0041,Artist 64,Rock,19.8
Track 0042,Artist 30,Pop,48.85
Track 0043,Artist 51,Country,69.59
Track 0044,Artist 41,Indie,39.86
Track 0045,Artist 49,Hip-hop,60.36
Track 0046,Artist 08,EDM,46.37
Track 0047,Artist 55,Pop,69.9
Track 0048,Artist 08,Hip-hop,49.89
Track 0049,Artist 09,Country,40.53
Track 0050,Artist 45,R&B,88.69
Track 0051,Artist 66,Rock,47.68
Track 0052,Artist 40,EDM,48.1
Track 0053,Artist 45,EDM,34.54
Track 0054,Artist 10,Rock,38.77
Track 0055,Artist 50,Indie,45.04
Track 0056,Artist 21,Pop,41.43
Track 0057,Artist 12,Country,61.31
Track 0058,Artist 69,Hip-hop,34.03
Track 0059,Artist 65,Country,52.76
Track 0060,Artist 61,EDM,35.04
Track 0061,Artist 24,Hip-hop,49.36
Track 0062,Artist 20,R&B,34.0
Track 0063,Artist 30,R&B,58.66
Track 0064,Artist 51,R&B,62.52
Track 0065,Artist 46,R&B,48.3
Track 0066,Artist 15,R&B,33.07
Track 0067,Artist 27,Indie,43.0
Track 0068,Artist 49,Country,32.09
Track 0069,Artist 37,Hip-hop,73.36
Track 0070,Artist 31,EDM,56.63
Track 0071,Artist 38,R&B,48.39
Track 0072,Artist 40,Indie,54.53
Track 0073,Artist 41,Pop,35.27
Track 0074,Artist 61,Rock,70.06
Track 0075,Artist 30,Hip-hop,52.02
Track 0076,Artist 02,Indie,54.74
Track 0077,Artist 30,Indie,37.04
Track 0078,Artist 31,Rock,38.45
Track 0079,Artist 32,Rock,52.08
Track 0080,Artist 45,R&B,61.73
Track 0081,Artist 06,Indie,36.82
Track 0082,Artist 20,Country,34.91
Track 0083,Artist 21,Hip-hop,93.62
Track 0084,Artist 63,Indie,54.11
Track 0085,Artist 42,Country,47.85
Track 0086,Artist 50,Indie,18.55
Track 0087,Artist 36,Hip-hop,63.16
Track 0088,Artist 29,Pop,25.66
Track 0089,Artist 29,EDM,39.62
Track 0090,Artist 18,Country,46.98
Track 0091,Artist 58,Hip-hop,64.33
Track 0092,Artist 37,R&B,57.53
Track 0093,Artist 38,Country,39.92
Track 0094,Artist 46,Country,45.86
Track 0095,Artist 56,Indie,45.24
Track 0096,Artist 69,Rock,33.51
Track 0097,Artist 50,EDM,42.28
Track 0098,Artist 47,EDM,58.55
Track 0099,Artist 69,Hip-hop,45.49
Track 0100,Artist 03,Country,35.84
Track 0101,Artist 61,Pop,54.84
Track 0102,Artist 31,R&B,38.66
Track 0103,Artist 29,R&B,37.6
Track 0104,Artist 36,Indie,58.78
Track 0105,Artist 31,Pop,40.9
Track 0106,Artist 41,Pop,60.32
Track 0107,Artist 02,Indie,44.6
Track 0108,Artist 39,Rock,68.95
Track 0109,Artist 47,Rock,26.67
Track 0110,Artist 49,R&B,38.66
Track 0111,Artist 41,Indie,63.2
Track 0112,Artist 01,Indie,61.37
Track 0113,Artist 06,Pop,39.5
Track 0114,Artist 28,Pop,59.27
Track 0115,Artist 52,Country,43.14
Track 0116,Artist 28,Indie,44.3
Track 0117,Artist 10,Pop,57.81
Track 0118,Artist 46,EDM,40.66
Track 0119,Artist 06,Country,61.29
Track 0120,Artist 44,Indie,78.53
Track 0121,Artist 49,Indie,55.61
Track 0122,Artist 51,Hip-hop,62.0
Track 0123,Artist 27,EDM,30.76
Track 0124,Artist 63,R&B,64.23
Track 0125,Artist 43,R&B,29.91
Track 0126,Artist 48,Hip-hop,35.17
Track 0127,Artist 48,Country,55.44
Track 0128,Artist 63,Indie,33.21
Track 0129,Artist 48,Pop,60.15
Track 0130,Artist 42,EDM,29.08
Track 0131,Artist 46,Hip-hop,55.76
Track 0132,Artist 32,Indie,30.39
Track 0133,Artist 51,Indie,33.12
Track 0134,Artist 20,Rock,39.5
Track 0135,Artist 18,R&B,35.96
Track 0136,Artist 05,Indie,62.84
Track 0137,Artist 11,Hip-hop,22.35
Track 0138,Artist 10,Rock,48.76
Track 0139,Artist 27,EDM,38.58
Track 0140,Artist 03,R&B,51.44
Track 0141,Artist 33,Hip-hop,47.19
Track 0142,Artist 31,Indie,55.69
Track 0143,Artist 20,Indie,57.33
Track 0144,Artist 57,Pop,12.79
Track 0145,Artist 66,EDM,55.33
Track 0146,Artist 33,EDM,27.17
Track 0147,Artist 62,R&B,61.57
Track 0148,Artist 13,Rock,34.02
Track 0149,Artist 67,Country,54.85
Track 0150,Artist 39,R&B,67.23
Track 0151,Artist 08,Rock,35.52
Track 0152,Artist 36,Indie,24.14
Track 0153,Artist 27,Indie,52.2
Track 0154,Artist 25,Pop,47.76
Track 0155,Artist 08,Pop,30.68
Track 0156,Artist 65,Hip-hop,40.29
Track 0157,Artist 61,Hip-hop,41.58
Track 0158,Artist 56,EDM,24.68
Track 0159,Artist 34,Country,53.73
Track 0160,Artist 10,Indie,43.75
Track 0161,Artist 43,Hip-hop,62.63
Track 0162,Artist 53,Country,6.59
Track 0163,Artist 04,Hip-hop,56.05
Track 0164,Artist 54,Rock,47.16
Track 0165,Artist 19,Pop,70.32
Track 0166,Artist 66,EDM,58.89
Track 0167,Artist 40,Hip-hop,41.85
Track 0168,Artist 40,EDM,49.69
Track 0169,Artist 68,R&B,40.08
Track 0170,Artist 48,Hip-hop,63.56
Track 0171,Artist 28,EDM,42.6
Track 0172,Artist 47,R&B,36.2
Track 0173,Artist 65,Pop,37.46
Track 0174,Artist 21,Country,81.96
Track 0175,Artist 68,EDM,23.09
Track 0176,Artist 50,EDM,31.79
Track 0177,Artist 38,Hip-hop,61.84
Track 0178,Artist 25,Rock,51.71
Track 0179,Artist 41,Rock,37.92
Track 0180,Artist 26,Rock,2.49
Track 0181,Artist 47,Country,52.77
Track 0182,Artist 08,Hip-hop,71.35
Track 0183,Artist 63,R&B,52.57
Track 0184,Artist 67,Pop,52.69
Track 0185,Artist 32,Pop,37.94
Track 0186,Artist 47,R&B,38.11
Track 0187,Artist 16,Hip-hop,59.14
Track 0188,Artist 66,Hip-hop,39.21
Track 0189,Artist 39,Indie,56.03
Track 0190,Artist 14,EDM,55.72
Track 0191,Artist 14,Hip-hop,48.02
Track 0192,Artist 21,Rock,76.92
Track 0193,Artist 29,Rock,42.04
Track 0194,Artist 40,Country,61.11
Track 0195,Artist 62,Hip-hop,41.34
Track 0196,Artist 06,Pop,36.88
Track 0197,Artist 20,Country,48.22
Track 0198,Artist 44,Hip-hop,36.61
Track 0199,Artist 50,Hip-hop,71.62
Track 0200,Artist 57,Hip-hop,50.02
Track 0201,Artist 18,Country,38.45
Track 0202,Artist 60,EDM,25.59
Track 0203,Artist 64,R&B,30.04
Track 0204,Artist 39,Indie,59.22
Track 0205,Artist 08,R&B,91.82
Track 0206,Artist 48,R&B,28.25
Track 0207,Artist 68,EDM,43.73
Track 0208,Artist 12,Pop,58.53
Track 0209,Artist 51,Hip-hop,82.81
Track 0210,Artist 41,Hip-hop,28.66
Track 0211,Artist 44,R&B,71.79
Track 0212,Artist 14,Country,74.57
Track 0213,Artist 22,Rock,58.22
Track 0214,Artist 28,Indie,44.18
Track 0215,Artist 42,R&B,46.98
Track 0216,Artist 16,R&B,36.19
Track 0217,Artist 13,Country,32.9
Track 0218,Artist 55,Rock,50.15
Track 0219,Artist 52,EDM,47.81
Track 0220,Artist 57,R&B,15.33
Track 0221,Artist 41,Hip-hop,40.36
Track 0222,Artist 52,Country,48.45
Track 0223,Artist 25,Pop,38.26
Track 0224,Artist 18,EDM,34.93
Track 0225,Artist 03,EDM,49.63
Track 0226,Artist 62,Rock,54.02
Track 0227,Artist 50,Country,63.9
Track 0228,Artist 17,EDM,18.61
Track 0229,Artist 20,EDM,53.86
Track 0230,Artist 63,Rock,60.17
Track 0231,Artist 35,Pop,50.95
Track 0232,Artist 46,Indie,86.0
Track 0233,Artist 10,Hip-hop,21.25
Track 0234,Artist 08,Hip-hop,59.47
Track 0235,Artist 02,Country,48.74
Track 0236,Artist 28,R&B,53.81
Track 0237,Artist 42,EDM,29.0
Track 0238,Artist 13,Rock,62.89
Track 0239,Artist 13,Pop,51.72
Track 0240,Artist 36,Hip-hop,25.94
Track 0241,Artist 67,EDM,25.75
Track 0242,Artist 04,Indie,35.71
Track 0243,Artist 65,Country,56.76
Track 0244,Artist 62,R&B,63.58
Track 0245,Artist 04,Country,26.03
Track 0246,Artist 13,Rock,58.59
Track 0247,Artist 30,R&B,26.9
Track 0248,Artist 29,Hip-hop,20.56
Track 0249,Artist 12,EDM,54.09
Track 0250,Artist 18,Country,50.42
Track 0251,Artist 43,Country,13.6
Track 0252,Artist 65,Rock,57.5
Track 0253,Artist 43,Rock,40.51
Track 0254,Artist 11,Pop,47.68
Track 0255,Artist 02,Rock,34.0
Track 0256,Artist 20,Rock,52.93
Track 0257,Artist 36,Rock,46.89
Track 0258,Artist 59,Hip-hop,30.29
Track 0259,Artist 68,Pop,51.59
Track 0260,Artist 33,EDM,31.85
Track 0261,Artist 44,EDM,27.79
Track 0262,Artist 53,Country,51.63
Track 0263,Artist 49,Pop,40.78
Track 0264,Artist 65,R&B,29.12
Track 0265,Artist 68,Rock,60.48
Track 0266,Artist 34,Pop,18.44
Track 0267,Artist 49,Rock,56.54
Track 0268,Artist 15,Indie,53.73
Track 0269,Artist 10,Hip-hop,48.21
Track 0270,Artist 33,Rock,36.13
Track 0271,Artist 28,R&B,39.5
Track 0272,Artist 47,Indie,41.19
Track 0273,Artist 38,EDM,51.85
Track 0274,Artist 17,R&B,65.09
Track 0275,Artist 51,R&B,41.41
Track 0276,Artist 27,Hip-hop,28.78
Track 0277,Artist 01,Pop,37.33
Track 0278,Artist 52,EDM,35.51
Track 0279,Artist 13,EDM,45.95
Track 0280,Artist 06,Country,40.19
Track 0281,Artist 57,Hip-hop,19.54
Track 0282,Artist 53,Indie,31.64
Track 0283,Artist 32,Pop,54.69
Track 0284,Artist 60,R&B,25.32
Track 0285,Artist 43,R&B,47.15
Track 0286,Artist 17,EDM,60.92
Track 0287,Artist 26,Rock,49.74
Track 0288,Artist 25,Hip-hop,41.95
Track 0289,Artist 64,Pop,29.18
Track 0290,Artist 68,Indie,43.52
Track 0291,Artist 41,Pop,54.6
Track 0292,Artist 07,Indie,39.76
Track 0293,Artist 02,EDM,47.07
Track 0294,Artist 52,Country,45.91
Track 0295,Artist 28,Hip-hop,45.18
Track 0296,Artist 16,Pop,31.75
Track 0297,Artist 66,Pop,41.77
Track 0298,Artist 51,R&B,31.32
Track 0299,Artist 65,Hip-hop,23.91
Track 0300,Artist 61,Hip-hop,35.52
Track 0301,Artist 55,Country,54.31
Track 0302,Artist 56,R&B,61.7
Track 0303,Artist 15,Indie,56.52
Track 0304,Artist 44,Rock,41.52
Track 0305,Artist 16,Pop,46.65
Track 0306,Artist 51,Country,42.78
Track 0307,Artist 10,Country,49.71
Track 0308,Artist 03,Country,54.56
Track 0309,Artist 53,Country,56.04
Track 0310,Artist 55,Rock,66.92
Track 0311,Artist 16,Country,44.21
Track 0312,Artist 08,Country,13.16
Track 0313,Artist 65,R&B,48.01
Track 0314,Artist 40,Indie,50.87
Track 0315,Artist 33,Country,29.42
Track 0316,Artist 53,R&B,49.31
Track 0317,Artist 19,Rock,54.04
Track 0318,Artist 59,EDM,76.17
Track 0319,Artist 22,EDM,53.62
Track 0320,Artist 12,Hip-hop,65.57
Track 0321,Artist 66,Indie,90.07
Track 0322,Artist 17,Country,53.5
Track 0323,Artist 50,Pop,20.68
Track 0324,Artist 53,Hip-hop,53.19
Track 0325,Artist 06,Indie,22.87
Track 0326,Artist 30,Indie,20.76
Track 0327,Artist 55,Country,56.39
Track 0328,Artist 46,Pop,35.72
Track 0329,Artist 40,Country,65.83
Track 0330,Artist 26,Pop,32.31
Track 0331,Artist 56,Rock,34.67
Track 0332,Artist 22,Rock,45.91
Track 0333,Artist 47,Country,57.51
Track 0334,Artist 13,Country,60.52
Track 0335,Artist 05,Hip-hop,55.4
Track 0336,Artist 52,Indie,40.34
Track 0337,Artist 51,R&B,32.76
Track 0338,Artist 56,R&B,43.44
Track 0339,Artist 22,EDM,45.51
Track 0340,Artist 17,Rock,41.31
Track 0341,Artist 68,EDM,10.46
Track 0342,Artist 40,Rock,46.3
Track 0343,Artist 27,Hip-hop,48.68
Track 0344,Artist 24,Country,54.93
Track 0345,Artist 15,Country,40.68
Track 0346,Artist 32,EDM,47.16
Track 0347,Artist 65,R&B,40.16
Track 0348,Artist 23,Hip-hop,23.4
Track 0349,Artist 11,Rock,60.14
Track 0350,Artist 43,Country,67.42
Track 0351,Artist 21,Hip-hop,37.65
Track 0352,Artist 27,R&B,53.03
Track 0353,Artist 68,R&B,19.7
Track 0354,Artist 02,Rock,71.98
Track 0355,Artist 53,R&B,52.28
Track 0356,Artist 24,R&B,48.53
Track 0357,Artist 22,EDM,53.53
Track 0358,Artist 28,Hip-hop,39.2
Track 0359,Artist 42,Hip-hop,44.92
Track 0360,Artist 56,Pop,36.08
Track 0361,Artist 07,R&B,46.56
Track 0362,Artist 48,Country,5.07
Track 0363,Artist 30,R&B,41.91
Track 0364,Artist 53,Rock,44.31
Track 0365,Artist 07,Pop,75.26
Track 0366,Artist 19,Indie,44.03
Track 0367,Artist 10,R&B,48.26
Track 0368,Artist 11,R&B,30.23
Track 0369,Artist 48,Pop,63.54
Track 0370,Artist 50,Hip-hop,71.39
Track 0371,Artist 43,Country,33.18
Track 0372,Artist 59,Rock,36.33
Track 0373,Artist 24,R&B,22.2
Track 0374,Artist 05,Pop,43.13
Track 0375,Artist 07,Country,81.87
Track 0376,Artist 60,Country,48.62
Track 0377,Artist 07,Hip-hop,62.51
Track 0378,Artist 53,R&B,32.87
Track 0379,Artist 10,Indie,70.83
Track 0380,Artist 22,Pop,69.87
Track 0381,Artist 29,Hip-hop,45.45
Track 0382,Artist 12,Pop,27.57
Track 0383,Artist 04,Country,31.8
Track 0384,Artist 45,Country,32.59
Track 0385,Artist 57,R&B,39.51
Track 0386,Artist 66,Pop,27.73
Track 0387,Artist 27,Pop,51.47
