Track.Name,Artist,Genre,Track.Score
Track 01,Artist 10,Indie,27.14
Track 02,Artist 02,Pop,29.1
Track 03,Artist 16,Indie,32.39
Track 04,Artist 10,Hip-hop,32.76
Track 05,Artist 08,EDM,54.51
Track 06,Artist 07,EDM,
Track 07,Artist 10,R&B,50.53
Track 08,Artist 06,Rock,39.95
Track 09,Artist 16,R&B,52.38
Track 10,Artist 08,EDM,45.65
Track 11,Artist 09,Hip-hop,67.66
Track 12,Artist 05,Pop,42.12
Track 13,Artist 07,Rock,14.44
Track 14,Artist 10,EDM,66.39
Track 15,Artist 13,Rock,17.14
Track 16,Artist 02,EDM,58.7
Track 17,Artist 08,Rock,29.1
Track 18,Artist 05,Rock,52.38
Track 19,Artist 17,Indie,74.84
Track 20,Artist 11,Pop,37.59
